year_published,latest,possibly_extinct,possibly_extinct_in_the_wild,sis_taxon_id,url,taxon_scientific_name,red_list_category_code,assessment_id,kingdom,phylum,class,order,family,genus,species,scope_description,endemicEU,RealAssessmentYN,Comments
2024,TRUE,FALSE,FALSE,19843,https://www.iucnredlist.org/species/19843/227233771,Salamandra atra,LC,227233771,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandra,atra,Europe; Global,N,Y,
2022,FALSE,FALSE,FALSE,19843,https://www.iucnredlist.org/species/19843/89706038,Salamandra atra,LC,89706038,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandra,atra,Europe; Global,N,Y,
2009,FALSE,FALSE,FALSE,19843,https://www.iucnredlist.org/species/19843/9023725,Salamandra atra,LC,9023725,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandra,atra,Europe; Global,N,Y,
2004,FALSE,FALSE,FALSE,19843,https://www.iucnredlist.org/species/19843/9023950,Salamandra atra,LC,9023950,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandra,atra,Europe; Global,N,Y,
1996,FALSE,FALSE,FALSE,19843,https://www.iucnredlist.org/species/19843/9023703,Salamandra atra,LC,9023703,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandra,atra,Europe; Global,N,Y,
2024,TRUE,FALSE,FALSE,59465,https://www.iucnredlist.org/species/59465/227234846,Salamandra corsica,LC,227234846,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandra,corsica,Europe; Global; Mediterranean,N,Y,
2022,FALSE,FALSE,FALSE,59465,https://www.iucnredlist.org/species/59465/267266697,Salamandra corsica,LC,267266697,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandra,corsica,Europe; Global; Mediterranean,N,Y,An errata assessment was created in order to add the 'Mediterranean' scope to the assessment of this species that is endemic to the IUCN Mediterranean Red List assessment area.
2022,FALSE,FALSE,FALSE,59465,https://www.iucnredlist.org/species/59465/89706239,Salamandra corsica,LC,89706239,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandra,corsica,Europe; Global,N,N,
2009,FALSE,FALSE,FALSE,59465,https://www.iucnredlist.org/species/59465/11926865,Salamandra corsica,LC,11926865,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandra,corsica,Europe; Global,N,Y,
2004,FALSE,FALSE,FALSE,59465,https://www.iucnredlist.org/species/59465/11926995,Salamandra corsica,LC,11926995,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandra,corsica,Europe; Global,N,Y,
2023,TRUE,FALSE,FALSE,59467,https://www.iucnredlist.org/species/59467/219148292,Salamandra salamandra,VU,219148292,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandra,salamandra,Europe; Global,N,Y,
2022,FALSE,FALSE,FALSE,59467,https://www.iucnredlist.org/species/59467/79323745,Salamandra salamandra,LC,79323745,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Salamandra,salamandra,Europe; Global,N,Y,
